Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
2. Stringify,nbsdx SimpleJSON (C++11),citm_catalog.json,14.981107,2055040,3082536,95521,0
2. Stringify,nbsdx SimpleJSON (C++11),twitter.json,6.621428,1268240,1902344,32912,0
3. Prettify,nbsdx SimpleJSON (C++11),canada.json,81.029546,2811888,4217824,336835,0
3. Prettify,nbsdx SimpleJSON (C++11),citm_catalog.json,18.386093,2962256,4443368,159216,0
3. Prettify,nbsdx SimpleJSON (C++11),twitter.json,8.348552,1524544,2286792,61650,0
4. Statistics,nbsdx SimpleJSON (C++11),canada.json,4.827722,0,40,1,0
4. Statistics,nbsdx SimpleJSON (C++11),citm_catalog.json,0.948726,0,112,730,0
4. Statistics,nbsdx SimpleJSON (C++11),twitter.json,1.576040,0,736,5166,0
1. Parse,Qt (C++),canada.json,33.929389,48,48,2,0
1. Parse,Qt (C++),citm_catalog.json,9.850807,48,48,2,0
1. Parse,Qt (C++),twitter.json,3.746288,48,48,2,0
2. Stringify,Qt (C++),canada.json,44.369851,24,24,1,0
2. Stringify,Qt (C++),citm_catalog.json,12.330811,24,24,1,0
2. Stringify,Qt (C++),twitter.json,7.324651,24,24,1,0
3. Prettify,Qt (C++),canada.json,50.891845,24,24,1,0
3. Prettify,Qt (C++),citm_catalog.json,14.404444,24,24,1,0
3. Prettify,Qt (C++),twitter.json,7.668784,24,24,1,0
4. Statistics,Qt (C++),canada.json,5.155838,0,0,0,0
4. Statistics,Qt (C++),citm_catalog.json,2.876184,0,0,0,0
4. Statistics,Qt (C++),twitter.json,1.633355,0,0,0,0
1. Parse,Configuru (C++11),canada.json,44.293094,10437464,10450040,170258,0
1. Parse,Configuru (C++11),citm_catalog.json,19.148997,4867040,4867120,56007,0
1. Parse,Configuru (C++11),twitter.json,8.627497,2340128,2340208,27879,0
2. Stringify,Configuru (C++11),canada.json,224.710829,3932208,5898368,23,0
2. Stringify,Configuru (C++11),citm_catalog.json,5.270957,983088,1474824,10952,0
2. Stringify,Configuru (C++11),twitter.json,2.315855,491568,737888,1280,0
3. Prettify,Configuru (C++11),canada.json,229.539484,3932208,5898368,23,0
3. Prettify,Configuru (C++11),citm_catalog.json,7.285704,983088,1474776,10952,0
3. Prettify,Configuru (C++11),twitter.json,3.535512,983088,1475168,1281,0
4. Statistics,Configuru (C++11),canada.json,2.103647,0,0,0,0
4. Statistics,Configuru (C++11),citm_catalog.json,0.836782,0,0,0,0
4. Statistics,Configuru (C++11),twitter.json,0.396618,0,0,0,0
1. Parse,C++ REST SDK (C++11),canada.json,73.302343,6910048,6910112,392462,0
1. Parse,C++ REST SDK (C++11),citm_catalog.json,16.698824,2709472,2709496,69966,0
1. Parse,C++ REST SDK (C++11),twitter.json,7.698205,1753872,1754176,28021,0
2. Stringify,C++ REST SDK (C++11),canada.json,68.324385,2251072,10027072,33,0
2. Stringify,C++ REST SDK (C++11),citm_catalog.json,3.470186,500352,1484800,20,0
2. Stringify,C++ REST SDK (C++11),twitter.json,1.630528,466976,1352000,22,0
4. Statistics,C++ REST SDK (C++11),canada.json,1.417185,0,0,0,0
4. Statistics,C++ REST SDK (C++11),citm_catalog.json,0.512206,0,0,0,0
4. Statistics,C++ REST SDK (C++11),twitter.json,0.237055,0,0,0,0
1. Parse,dropbox json11 (C++11),canada.json,41.877258,11133088,13384152,281382,0
1. Parse,dropbox json11 (C++11),citm_catalog.json,11.514236,4597976,6325184,70675,0
1. Parse,dropbox json11 (C++11),twitter.json,6.460698,2126288,2757816,32396,0
2. Stringify,dropbox json11 (C++11),canada.json,70.058597,3932208,5898296,19,0
2. Stringify,dropbox json11 (C++11),citm_catalog.json,4.945935,983088,1474616,17,0
2. Stringify,dropbox json11 (C++11),twitter.json,3.135138,983088,1474616,17,0
4. Statistics,dropbox json11 (C++11),canada.json,3.441685,0,0,0,0
4. Statistics,dropbox json11 (C++11),citm_catalog.json,0.812072,0,0,0,0
4. Statistics,dropbox json11 (C++11),twitter.json,0.404126,0,0,0,0
1. Parse,mikeando FastJson (C++),canada.json,18.326731,8715384,10966984,22,0
1. Parse,mikeando FastJson (C++),citm_catalog.json,8.884680,2687432,4415176,22,0
1. Parse,mikeando FastJson (C++),twitter.json,4.032021,1361560,1994216,24,0
2. Stringify,mikeando FastJson (C++),canada.json,77.838216,2251072,2251072,2,0
2. Stringify,mikeando FastJson (C++),citm_catalog.json,9.725688,501040,501040,2,0
2. Stringify,mikeando FastJson (C++),twitter.json,3.145216,562464,562464,2,0
4. Statistics,mikeando FastJson (C++),canada.json,0.861837,0,0,0,0
4. Statistics,mikeando FastJson (C++),citm_catalog.json,0.257266,0,0,0,0
4. Statistics,mikeando FastJson (C++),twitter.json,0.123994,0,0,0,0
1. Parse,gason (C++11),canada.json,5.367735,4943344,4943344,658,0
1. Parse,gason (C++11),citm_catalog.json,4.261331,2548048,2548048,202,0
1. Parse,gason (C++11),twitter.json,1.754732,963992,963992,83,0
2. Stringify,gason (C++11),canada.json,51.408242,1295040,3392200,15,0
2. Stringify,gason (C++11),citm_catalog.json,13.506444,601088,1649672,14,0
2. Stringify,gason (C++11),twitter.json,6.745976,481712,1006008,13,0
3. Prettify,gason (C++11),canada.json,83.936850,7316176,15704792,17,0
3. Prettify,gason (C++11),citm_catalog.json,19.842689,1802128,3899288,15,0
3. Prettify,gason (C++11),twitter.json,8.138277,768752,1817336,14,0
4. Statistics,gason (C++11),canada.json,0.586317,0,0,0,0
4. Statistics,gason (C++11),citm_catalog.json,0.333975,0,0,0,0
4. Statistics,gason (C++11),twitter.json,0.215225,0,0,0,0
1. Parse,JeayeSON (C++14),canada.json,77.583543,9809048,31678992,442970,0
1. Parse,JeayeSON (C++14),citm_catalog.json,30.961574,3815616,13175336,224033,0
1. Parse,JeayeSON (C++14),twitter.json,17.311436,1958888,6509520,128624,0
2. Stringify,JeayeSON (C++14),canada.json,62.493360,1043296,2091880,15,0
2. Stringify,JeayeSON (C++14),citm_catalog.json,5.228072,499600,1023896,1374,0
2. Stringify,JeayeSON (C++14),twitter.json,3.855590,465632,989928,6730,0
4. Statistics,JeayeSON (C++14),canada.json,1.837075,0,0,0,0
4. Statistics,JeayeSON (C++14),citm_catalog.json,0.485434,0,0,0,0
4. Statistics,JeayeSON (C++14),twitter.json,0.270890,0,0,0,0
1. Parse,jsmn (C),canada.json,606.239987,2675040,2675040,2,0
1. Parse,jsmn (C),citm_catalog.json,21.915457,1018400,1018400,2,0
1. Parse,jsmn (C),twitter.json,6.523780,436192,436192,2,0
4. Statistics,jsmn (C),canada.json,0.468068,0,0,0,0
4. Statistics,jsmn (C),citm_catalog.json,0.190612,0,0,0,0
4. Statistics,jsmn (C),twitter.json,0.119403,0,0,0,0
1. Parse,JsonBox (C++),canada.json,275.991740,7491872,12385960,974083,0
1. Parse,JsonBox (C++),citm_catalog.json,88.347921,3782712,7237168,246869,0
1. Parse,JsonBox (C++),twitter.json,43.951991,1918664,3775984,84564,0
2. Stringify,JsonBox (C++),canada.json,236.997873,2251072,6445384,18,0
2. Stringify,JsonBox (C++),citm_catalog.json,56.752621,499616,1023912,2733,0
2. Stringify,JsonBox (C++),twitter.json,39.454589,465392,989688,12823,0
