Type,Library,Test,Result
2. Parse Double,RapidJSON Iterative (C++),double41,true
2. Parse Double,RapidJSON Iterative (C++),double42,true
2. Parse Double,RapidJSON Iterative (C++),double43,true
2. Parse Double,RapidJSON Iterative (C++),double44,false
2. Parse Double,RapidJSON Iterative (C++),double45,false
2. Parse Double,RapidJSON Iterative (C++),double46,true
2. Parse Double,RapidJSON Iterative (C++),double47,true
2. Parse Double,RapidJSON Iterative (C++),double48,false
2. Parse Double,RapidJSON Iterative (C++),double49,true
2. Parse Double,RapidJSON Iterative (C++),double50,true
2. Parse Double,RapidJSON Iterative (C++),double51,true
2. Parse Double,RapidJSON Iterative (C++),double52,true
2. Parse Double,RapidJSON Iterative (C++),double53,true
2. Parse Double,RapidJSON Iterative (C++),double54,true
2. Parse Double,RapidJSON Iterative (C++),double55,true
2. Parse Double,RapidJSON Iterative (C++),double56,false
2. Parse Double,RapidJSON Iterative (C++),double57,false
2. Parse Double,RapidJSON Iterative (C++),double58,true
2. Parse Double,RapidJSON Iterative (C++),double59,false
2. Parse Double,RapidJSON Iterative (C++),double60,false
2. Parse Double,RapidJSON Iterative (C++),double61,false
2. Parse Double,RapidJSON Iterative (C++),double62,false
2. Parse Double,RapidJSON Iterative (C++),double63,false
2. Parse Double,RapidJSON Iterative (C++),double64,false
2. Parse Double,RapidJSON Iterative (C++),double65,false
2. Parse Double,RapidJSON Iterative (C++),double66,true
3. Parse String,RapidJSON Iterative (C++),string01,true
3. Parse String,RapidJSON Iterative (C++),string02,true
3. Parse String,RapidJSON Iterative (C++),string03,true
3. Parse String,RapidJSON Iterative (C++),string04,true
3. Parse String,RapidJSON Iterative (C++),string05,true
3. Parse String,RapidJSON Iterative (C++),string06,true
3. Parse String,RapidJSON Iterative (C++),string07,true
3. Parse String,RapidJSON Iterative (C++),string08,true
3. Parse String,RapidJSON Iterative (C++),string09,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip01,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip02,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip03,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip04,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip05,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip06,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip07,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip08,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip09,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip10,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip11,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip12,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip13,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip14,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip15,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip16,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip17,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip18,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip19,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip20,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip21,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip22,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip23,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip24,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip25,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip26,true
4. Roundtrip,RapidJSON Iterative (C++),roundtrip27,true
1. Parse Validation,RapidJSON (C++),pass01,true
1. Parse Validation,RapidJSON (C++),pass02,true
1. Parse Validation,RapidJSON (C++),pass03,true
1. Parse Validation,RapidJSON (C++),fail02,true
1. Parse Validation,RapidJSON (C++),fail03,true
1. Parse Validation,RapidJSON (C++),fail04,true
1. Parse Validation,RapidJSON (C++),fail05,true
1. Parse Validation,RapidJSON (C++),fail06,true
1. Parse Validation,RapidJSON (C++),fail07,true
1. Parse Validation,RapidJSON (C++),fail08,true
1. Parse Validation,RapidJSON (C++),fail09,true
1. Parse Validation,RapidJSON (C++),fail10,true
1. Parse Validation,RapidJSON (C++),fail11,true
1. Parse Validation,RapidJSON (C++),fail12,true
1. Parse Validation,RapidJSON (C++),fail13,true
1. Parse Validation,RapidJSON (C++),fail14,true
1. Parse Validation,RapidJSON (C++),fail15,true
1. Parse Validation,RapidJSON (C++),fail16,true
1. Parse Validation,RapidJSON (C++),fail17,true
1. Parse Validation,RapidJSON (C++),fail19,true
1. Parse Validation,RapidJSON (C++),fail20,true
1. Parse Validation,RapidJSON (C++),fail21,true
1. Parse Validation,RapidJSON (C++),fail22,true
1. Parse Validation,RapidJSON (C++),fail23,true
1. Parse Validation,RapidJSON (C++),fail24,true
1. Parse Validation,RapidJSON (C++),fail25,true
1. Parse Validation,RapidJSON (C++),fail26,true
1. Parse Validation,RapidJSON (C++),fail27,true
1. Parse Validation,RapidJSON (C++),fail28,true
1. Parse Validation,RapidJSON (C++),fail29,true
1. Parse Validation,RapidJSON (C++),fail30,true
1. Parse Validation,RapidJSON (C++),fail31,true
1. Parse Validation,RapidJSON (C++),fail32,true
1. Parse Validation,RapidJSON (C++),fail33,true
1. Parse Validation,RapidJSON (C++),number_-9223372036854775808,true
1. Parse Validation,RapidJSON (C++),string_2_escaped_invalid_codepoints,false
1. Parse Validation,RapidJSON (C++),string_1_invalid_codepoint,true
1. Parse Validation,RapidJSON (C++),object_same_key_unclear_values,true
1. Parse Validation,RapidJSON (C++),object_key_nfc_nfd,true
1. Parse Validation,RapidJSON (C++),string_3_escaped_invalid_codepoints,false
1. Parse Validation,RapidJSON (C++),number_1.000000000000000005,true
1. Parse Validation,RapidJSON (C++),string_with_escaped_NULL,true
1. Parse Validation,RapidJSON (C++),number_1e6,true
1. Parse Validation,RapidJSON (C++),string_3_invalid_codepoints,true
1. Parse Validation,RapidJSON (C++),number_1.0,true
1. Parse Validation,RapidJSON (C++),string_2_invalid_codepoints,true
1. Parse Validation,RapidJSON (C++),number_9223372036854775807,true
1. Parse Validation,RapidJSON (C++),number_1000000000000000,true
1. Parse Validation,RapidJSON (C++),number_10000000000000000999,true
1. Parse Validation,RapidJSON (C++),number_-9223372036854775809,true
1. Parse Validation,RapidJSON (C++),object_same_key_different_values,true
1. Parse Validation,RapidJSON (C++),object_key_nfd_nfc,true
1. Parse Validation,RapidJSON (C++),object_same_key_same_value,true
1. Parse Validation,RapidJSON (C++),number_9223372036854775808,true
1. Parse Validation,RapidJSON (C++),number_1e-999,true
1. Parse Validation,RapidJSON (C++),string_1_escaped_invalid_codepoint,false
2. Parse Double,RapidJSON (C++),double01,true
2. Parse Double,RapidJSON (C++),double02,true
2. Parse Double,RapidJSON (C++),double03,true
2. Parse Double,RapidJSON (C++),double04,true
2. Parse Double,RapidJSON (C++),double05,true
2. Parse Double,RapidJSON (C++),double06,true
2. Parse Double,RapidJSON (C++),double07,true
2. Parse Double,RapidJSON (C++),double08,true
2. Parse Double,RapidJSON (C++),double09,true
2. Parse Double,RapidJSON (C++),double10,true
2. Parse Double,RapidJSON (C++),double11,true
2. Parse Double,RapidJSON (C++),double12,true
2. Parse Double,RapidJSON (C++),double13,true
2. Parse Double,RapidJSON (C++),double14,true
2. Parse Double,RapidJSON (C++),double15,true
2. Parse Double,RapidJSON (C++),double16,true
2. Parse Double,RapidJSON (C++),double17,true
2. Parse Double,RapidJSON (C++),double18,true
2. Parse Double,RapidJSON (C++),double19,false
2. Parse Double,RapidJSON (C++),double20,true
2. Parse Double,RapidJSON (C++),double21,false
2. Parse Double,RapidJSON (C++),double22,true
2. Parse Double,RapidJSON (C++),double23,true
2. Parse Double,RapidJSON (C++),double24,true
2. Parse Double,RapidJSON (C++),double25,true
2. Parse Double,RapidJSON (C++),double26,true
2. Parse Double,RapidJSON (C++),double27,true
2. Parse Double,RapidJSON (C++),double28,true
2. Parse Double,RapidJSON (C++),double29,false
2. Parse Double,RapidJSON (C++),double30,true
2. Parse Double,RapidJSON (C++),double31,true
2. Parse Double,RapidJSON (C++),double32,false
2. Parse Double,RapidJSON (C++),double33,true
2. Parse Double,RapidJSON (C++),double34,true
2. Parse Double,RapidJSON (C++),double35,true
2. Parse Double,RapidJSON (C++),double36,true
2. Parse Double,RapidJSON (C++),double37,false
2. Parse Double,RapidJSON (C++),double38,true
2. Parse Double,RapidJSON (C++),double39,true
2. Parse Double,RapidJSON (C++),double40,false
2. Parse Double,RapidJSON (C++),double41,true
2. Parse Double,RapidJSON (C++),double42,true
2. Parse Double,RapidJSON (C++),double43,true
2. Parse Double,RapidJSON (C++),double44,false
2. Parse Double,RapidJSON (C++),double45,false
2. Parse Double,RapidJSON (C++),double46,true
2. Parse Double,RapidJSON (C++),double47,true
2. Parse Double,RapidJSON (C++),double48,false
2. Parse Double,RapidJSON (C++),double49,true
2. Parse Double,RapidJSON (C++),double50,true
2. Parse Double,RapidJSON (C++),double51,true
2. Parse Double,RapidJSON (C++),double52,true
2. Parse Double,RapidJSON (C++),double53,true
2. Parse Double,RapidJSON (C++),double54,true
2. Parse Double,RapidJSON (C++),double55,true
2. Parse Double,RapidJSON (C++),double56,false
2. Parse Double,RapidJSON (C++),double57,false
2. Parse Double,RapidJSON (C++),double58,true
2. Parse Double,RapidJSON (C++),double59,false
2. Parse Double,RapidJSON (C++),double60,false
2. Parse Double,RapidJSON (C++),double61,false
2. Parse Double,RapidJSON (C++),double62,false
2. Parse Double,RapidJSON (C++),double63,false
2. Parse Double,RapidJSON (C++),double64,false
2. Parse Double,RapidJSON (C++),double65,false
2. Parse Double,RapidJSON (C++),double66,true
3. Parse String,RapidJSON (C++),string01,true
3. Parse String,RapidJSON (C++),string02,true
3. Parse String,RapidJSON (C++),string03,true
3. Parse String,RapidJSON (C++),string04,true
3. Parse String,RapidJSON (C++),string05,true
3. Parse String,RapidJSON (C++),string06,true
3. Parse String,RapidJSON (C++),string07,true
3. Parse String,RapidJSON (C++),string08,true
3. Parse String,RapidJSON (C++),string09,true
4. Roundtrip,RapidJSON (C++),roundtrip01,true
4. Roundtrip,RapidJSON (C++),roundtrip02,true
4. Roundtrip,RapidJSON (C++),roundtrip03,true
4. Roundtrip,RapidJSON (C++),roundtrip04,true
4. Roundtrip,RapidJSON (C++),roundtrip05,true
4. Roundtrip,RapidJSON (C++),roundtrip06,true
4. Roundtrip,RapidJSON (C++),roundtrip07,true
4. Roundtrip,RapidJSON (C++),roundtrip08,true
4. Roundtrip,RapidJSON (C++),roundtrip09,true
4. Roundtrip,RapidJSON (C++),roundtrip10,true
4. Roundtrip,RapidJSON (C++),roundtrip11,true
4. Roundtrip,RapidJSON (C++),roundtrip12,true
4. Roundtrip,RapidJSON (C++),roundtrip13,true
4. Roundtrip,RapidJSON (C++),roundtrip14,true
4. Roundtrip,RapidJSON (C++),roundtrip15,true
4. Roundtrip,RapidJSON (C++),roundtrip16,true
4. Roundtrip,RapidJSON (C++),roundtrip17,true
4. Roundtrip,RapidJSON (C++),roundtrip18,true
4. Roundtrip,RapidJSON (C++),roundtrip19,true
4. Roundtrip,RapidJSON (C++),roundtrip20,true
4. Roundtrip,RapidJSON (C++),roundtrip21,true
4. Roundtrip,RapidJSON (C++),roundtrip22,true
4. Roundtrip,RapidJSON (C++),roundtrip23,true
4. Roundtrip,RapidJSON (C++),roundtrip24,true
4. Roundtrip,RapidJSON (C++),roundtrip25,true
4. Roundtrip,RapidJSON (C++),roundtrip26,true
4. Roundtrip,RapidJSON (C++),roundtrip27,true
1. Parse Validation,simdjson,pass01,true
1. Parse Validation,simdjson,pass02,true
1. Parse Validation,simdjson,pass03,true
1. Parse Validation,simdjson,fail02,true
1. Parse Validation,simdjson,fail03,true
1. Parse Validation,simdjson,fail04,true
1. Parse Validation,simdjson,fail05,true
1. Parse Validation,simdjson,fail06,true
1. Parse Validation,simdjson,fail07,true
1. Parse Validation,simdjson,fail08,true
1. Parse Validation,simdjson,fail09,true
1. Parse Validation,simdjson,fail10,true
1. Parse Validation,simdjson,fail11,true
1. Parse Validation,simdjson,fail12,true
1. Parse Validation,simdjson,fail13,true
1. Parse Validation,simdjson,fail14,true
1. Parse Validation,simdjson,fail15,true
1. Parse Validation,simdjson,fail16,true
1. Parse Validation,simdjson,fail17,true
1. Parse Validation,simdjson,fail19,true
1. Parse Validation,simdjson,fail20,true
1. Parse Validation,simdjson,fail21,true
1. Parse Validation,simdjson,fail22,true
1. Parse Validation,simdjson,fail23,true
1. Parse Validation,simdjson,fail24,true
1. Parse Validation,simdjson,fail25,true
1. Parse Validation,simdjson,fail26,true
1. Parse Validation,simdjson,fail27,true
1. Parse Validation,simdjson,fail28,true
1. Parse Validation,simdjson,fail29,true
1. Parse Validation,simdjson,fail30,true
1. Parse Validation,simdjson,fail31,true
1. Parse Validation,simdjson,fail32,true
1. Parse Validation,simdjson,fail33,true
1. Parse Validation,simdjson,number_-9223372036854775808,true
1. Parse Validation,simdjson,string_2_escaped_invalid_codepoints,true
1. Parse Validation,simdjson,string_1_invalid_codepoint,false
1. Parse Validation,simdjson,object_same_key_unclear_values,true
1. Parse Validation,simdjson,object_key_nfc_nfd,true
1. Parse Validation,simdjson,string_3_escaped_invalid_codepoints,false
1. Parse Validation,simdjson,number_1.000000000000000005,true
1. Parse Validation,simdjson,string_with_escaped_NULL,true
1. Parse Validation,simdjson,number_1e6,true
1. Parse Validation,simdjson,string_3_invalid_codepoints,false
1. Parse Validation,simdjson,number_1.0,true
1. Parse Validation,simdjson,string_2_invalid_codepoints,false
1. Parse Validation,simdjson,number_9223372036854775807,true
1. Parse Validation,simdjson,number_1000000000000000,true
1. Parse Validation,simdjson,number_10000000000000000999,true
1. Parse Validation,simdjson,number_-9223372036854775809,false
1. Parse Validation,simdjson,object_same_key_different_values,true
1. Parse Validation,simdjson,object_key_nfd_nfc,true
1. Parse Validation,simdjson,object_same_key_same_value,true
1. Parse Validation,simdjson,number_9223372036854775808,true
1. Parse Validation,simdjson,number_1e-999,true
1. Parse Validation,simdjson,string_1_escaped_invalid_codepoint,false
2. Parse Double,simdjson,double01,true
2. Parse Double,simdjson,double02,true
2. Parse Double,simdjson,double03,true
2. Parse Double,simdjson,double04,true
2. Parse Double,simdjson,double05,true
2. Parse Double,simdjson,double06,true
2. Parse Double,simdjson,double07,true
2. Parse Double,simdjson,double08,true
2. Parse Double,simdjson,double09,true
2. Parse Double,simdjson,double10,true
2. Parse Double,simdjson,double11,true
2. Parse Double,simdjson,double12,true
2. Parse Double,simdjson,double13,true
2. Parse Double,simdjson,double14,true
2. Parse Double,simdjson,double15,true
2. Parse Double,simdjson,double16,true
2. Parse Double,simdjson,double17,true
2. Parse Double,simdjson,double18,true
2. Parse Double,simdjson,double19,true
2. Parse Double,simdjson,double20,true
2. Parse Double,simdjson,double21,true
2. Parse Double,simdjson,double22,true
2. Parse Double,simdjson,double23,true
2. Parse Double,simdjson,double24,true
2. Parse Double,simdjson,double25,true
2. Parse Double,simdjson,double26,true
2. Parse Double,simdjson,double27,false
2. Parse Double,simdjson,double28,false
2. Parse Double,simdjson,double29,true
2. Parse Double,simdjson,double30,true
2. Parse Double,simdjson,double31,true
2. Parse Double,simdjson,double32,true
2. Parse Double,simdjson,double33,true
2. Parse Double,simdjson,double34,true
2. Parse Double,simdjson,double35,true
2. Parse Double,simdjson,double36,true
2. Parse Double,simdjson,double37,true
2. Parse Double,simdjson,double38,true
2. Parse Double,simdjson,double39,true
2. Parse Double,simdjson,double40,true
2. Parse Double,simdjson,double41,true
2. Parse Double,simdjson,double42,true
2. Parse Double,simdjson,double43,true
2. Parse Double,simdjson,double44,true
2. Parse Double,simdjson,double45,true
2. Parse Double,simdjson,double46,true
2. Parse Double,simdjson,double47,true
2. Parse Double,simdjson,double48,true
2. Parse Double,simdjson,double49,true
2. Parse Double,simdjson,double50,true
2. Parse Double,simdjson,double51,true
2. Parse Double,simdjson,double52,true
2. Parse Double,simdjson,double53,true
2. Parse Double,simdjson,double54,true
2. Parse Double,simdjson,double55,false
2. Parse Double,simdjson,double56,false
2. Parse Double,simdjson,double57,false
2. Parse Double,simdjson,double58,true
2. Parse Double,simdjson,double59,true
2. Parse Double,simdjson,double60,false
2. Parse Double,simdjson,double61,false
2. Parse Double,simdjson,double62,false
2. Parse Double,simdjson,double63,true
2. Parse Double,simdjson,double64,true
2. Parse Double,simdjson,double65,false
2. Parse Double,simdjson,double66,true
3. Parse String,simdjson,string01,true
3. Parse String,simdjson,string02,true
3. Parse String,simdjson,string03,true
3. Parse String,simdjson,string04,true
3. Parse String,simdjson,string05,true
3. Parse String,simdjson,string06,true
3. Parse String,simdjson,string07,true
3. Parse String,simdjson,string08,true
3. Parse String,simdjson,string09,true
4. Roundtrip,simdjson,roundtrip01,true
4. Roundtrip,simdjson,roundtrip02,true
4. Roundtrip,simdjson,roundtrip03,true
4. Roundtrip,simdjson,roundtrip04,true
4. Roundtrip,simdjson,roundtrip05,true
4. Roundtrip,simdjson,roundtrip06,true
4. Roundtrip,simdjson,roundtrip07,true
4. Roundtrip,simdjson,roundtrip08,true
4. Roundtrip,simdjson,roundtrip09,true
4. Roundtrip,simdjson,roundtrip10,false
4. Roundtrip,simdjson,roundtrip11,true
4. Roundtrip,simdjson,roundtrip12,true
4. Roundtrip,simdjson,roundtrip13,false
4. Roundtrip,simdjson,roundtrip14,false
4. Roundtrip,simdjson,roundtrip15,true
4. Roundtrip,simdjson,roundtrip16,true
4. Roundtrip,simdjson,roundtrip17,true
4. Roundtrip,simdjson,roundtrip18,false
4. Roundtrip,simdjson,roundtrip19,false
4. Roundtrip,simdjson,roundtrip20,false
4. Roundtrip,simdjson,roundtrip21,true
4. Roundtrip,simdjson,roundtrip22,true
4. Roundtrip,simdjson,roundtrip23,true
4. Roundtrip,simdjson,roundtrip24,true
4. Roundtrip,simdjson,roundtrip25,false
4. Roundtrip,simdjson,roundtrip26,false
4. Roundtrip,simdjson,roundtrip27,false
1. Parse Validation,SimpleJSON (C++),pass01,true
1. Parse Validation,SimpleJSON (C++),pass02,true
1. Parse Validation,SimpleJSON (C++),pass03,true
1. Parse Validation,SimpleJSON (C++),fail02,true
1. Parse Validation,SimpleJSON (C++),fail03,true
1. Parse Validation,SimpleJSON (C++),fail04,true
1. Parse Validation,SimpleJSON (C++),fail05,true
1. Parse Validation,SimpleJSON (C++),fail06,true
1. Parse Validation,SimpleJSON (C++),fail07,true
1. Parse Validation,SimpleJSON (C++),fail08,true
1. Parse Validation,SimpleJSON (C++),fail09,true
1. Parse Validation,SimpleJSON (C++),fail10,true
1. Parse Validation,SimpleJSON (C++),fail11,true
1. Parse Validation,SimpleJSON (C++),fail12,true
1. Parse Validation,SimpleJSON (C++),fail13,true
1. Parse Validation,SimpleJSON (C++),fail14,true
1. Parse Validation,SimpleJSON (C++),fail15,true
1. Parse Validation,SimpleJSON (C++),fail16,true
1. Parse Validation,SimpleJSON (C++),fail17,true
1. Parse Validation,SimpleJSON (C++),fail19,true
1. Parse Validation,SimpleJSON (C++),fail20,true
1. Parse Validation,SimpleJSON (C++),fail21,true
1. Parse Validation,SimpleJSON (C++),fail22,true
1. Parse Validation,SimpleJSON (C++),fail23,true
1. Parse Validation,SimpleJSON (C++),fail24,true
1. Parse Validation,SimpleJSON (C++),fail25,false
1. Parse Validation,SimpleJSON (C++),fail26,true
1. Parse Validation,SimpleJSON (C++),fail27,true
1. Parse Validation,SimpleJSON (C++),fail28,true
1. Parse Validation,SimpleJSON (C++),fail29,true
1. Parse Validation,SimpleJSON (C++),fail30,true
1. Parse Validation,SimpleJSON (C++),fail31,true
