Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
2. Stringify,JSON Spirit (C++),twitter,8.323910,944000,1992584,11267,0
3. Prettify,JSON Spirit (C++),citm_catalog,16.612391,2006864,4104024,1727,0
3. Prettify,JSON Spirit (C++),canada,122.884994,8272224,16660840,18,0
3. Prettify,JSON Spirit (C++),twitter,10.802091,1273152,3370312,11268,0
4. Statistics,JSON Spirit (C++),citm_catalog,0.454732,0,0,0,0
4. Statistics,JSON Spirit (C++),canada,1.420837,0,0,0,0
4. Statistics,JSON Spirit (C++),twitter,0.171355,0,0,0,0
1. Parse,hjiang JSON++ (C++),citm_catalog,45.717039,4809088,8263504,132013,0
1. Parse,hjiang JSON++ (C++),canada,150.148702,10032976,14535104,504610,0
1. Parse,hjiang JSON++ (C++),twitter,21.952530,2241152,3504208,57430,0
2. Stringify,hjiang JSON++ (C++),citm_catalog,56.620601,946976,4836264,136557,0
2. Stringify,hjiang JSON++ (C++),canada,285.121399,3979840,20113528,447434,0
2. Stringify,hjiang JSON++ (C++),twitter,20.108394,575712,3351256,50774,0
4. Statistics,hjiang JSON++ (C++),citm_catalog,0.719098,0,0,0,0
4. Statistics,hjiang JSON++ (C++),canada,2.656178,0,0,0,0
4. Statistics,hjiang JSON++ (C++),twitter,0.378410,0,0,0,0
1. Parse,juson (C),citm_catalog,7.440995,3006312,3006336,6050,0
1. Parse,juson (C),canada,34.780980,7361728,7361752,115044,0
1. Parse,juson (C),twitter,2.114591,1363488,1363488,1104,0
4. Statistics,juson (C),citm_catalog,0.406730,0,0,0,0
4. Statistics,juson (C),canada,0.847908,0,0,0,0
4. Statistics,juson (C),twitter,0.192625,0,0,0,0
1. Parse,Nlohmann (C++11),citm_catalog,16.317020,3476504,3476808,56018,0
1. Parse,Nlohmann (C++11),canada,56.071290,4896672,4896872,170267,0
1. Parse,Nlohmann (C++11),twitter,8.906439,1798104,1799272,27316,0
2. Stringify,Nlohmann (C++11),citm_catalog,3.676493,983088,1475176,19,0
2. Stringify,Nlohmann (C++11),canada,16.225325,3932208,5898856,21,0
2. Stringify,Nlohmann (C++11),twitter,3.343422,491568,737896,18,0
3. Prettify,Nlohmann (C++11),citm_catalog,5.265312,1966128,2949736,20,0
3. Prettify,Nlohmann (C++11),canada,20.241674,15728688,23593576,23,0
3. Prettify,Nlohmann (C++11),twitter,3.535079,983088,1475176,19,0
4. Statistics,Nlohmann (C++11),citm_catalog,0.641418,0,56,451,0
4. Statistics,Nlohmann (C++11),canada,2.378906,0,40,1,0
4. Statistics,Nlohmann (C++11),twitter,0.465058,0,472,2336,0
1. Parse,PicoJSON (C++),citm_catalog,11.599764,3486888,3486888,57191,0
1. Parse,PicoJSON (C++),canada,54.833845,4894224,4894264,279133,0
1. Parse,PicoJSON (C++),twitter,6.816490,1860952,1860952,34552,0
2. Stringify,PicoJSON (C++),citm_catalog,9.264578,983088,1474616,17,0
2. Stringify,PicoJSON (C++),canada,83.759618,3932208,5898320,108897,0
2. Stringify,PicoJSON (C++),twitter,4.290219,491568,737336,214,0
4. Statistics,PicoJSON (C++),citm_catalog,0.657324,0,0,0,0
4. Statistics,PicoJSON (C++),canada,1.014978,0,0,0,0
4. Statistics,PicoJSON (C++),twitter,0.224213,0,0,0,0
1. Parse,POCO (C++),citm_catalog,33.035134,12517848,14246280,293979,0
1. Parse,POCO (C++),canada,130.342332,10501104,12753488,1304156,0
1. Parse,POCO (C++),twitter,14.038423,2752984,3385768,96904,0
2. Stringify,POCO (C++),citm_catalog,14.543623,500752,1025048,28151,0
